original_ORF_annotation	query	target	description	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
>LOKIASV2_18850 hypothetical protein	LOKIASV2_1885_ESMFold_hypothetical_protein	7p0h-assembly2.cif.gz_B	Crystal structure of Helicobacter pylori ComF fused to an artificial alphaREP crystallization helper(named B2) 	0.243	222	157	9	230	4	211	0.00000001729	382
>LOKIASV2_18860 RNA 2',3'-cyclic phosphodiesterase	LOKIASV2_1886_ESMFold_RNA_2--3--cyclic_phosphodiesterase	AF-O57823-F1-model_v4	RNA 2',3'-cyclic phosphodiesterase 	0.321	189	120	5	193	1	178	2.735E-14	521
>LOKIASV2_18870 hypothetical protein	LOKIASV2_1887_ESMFold_hypothetical_protein	AF-Q3SX43-F1-model_v4	Ras-related GTP-binding protein A 	0.138	330	265	1	330	4	312	4.089E-19	600
>LOKIASV2_18880 orotidine-5'-phosphate decarboxylase	LOKIASV2_1888_ESMFold_orotidine-5--phosphate_decarboxylase	AF-B0KA34-F1-model_v4	Orotidine 5'-phosphate decarboxylase 	0.382	320	187	4	323	1	303	1.104E-31	1176
>LOKIASV2_18890 hypothetical protein	LOKIASV2_1889_ESMFold_hypothetical_protein	AF-P81436-F1-model_v4	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit 	0.243	320	238	16	335	157	472	2.988E-17	832
>LOKIASV2_18900 heavy metal translocating P-type ATPase	LOKIASV2_1890_ESMFold_heavy_metal_translocating_P-type_ATPase	AF-O30085-F1-model_v4	Copper-exporting P-type ATPase B 	0.609	661	256	1	661	34	690	2.916E-78	3717
>LOKIASV2_18910 sulfatase-like hydrolase-transferase	LOKIASV2_1891_ESMFold_sulfatase-like_hydrolase-transferase	AF-Q0TUK6-F1-model_v4	Arylsulfatase 	0.23	531	350	10	540	2	457	7.125E-35	1040
>LOKIASV2_18920 HAD family hydrolase	LOKIASV2_1892_ESMFold_HAD_family_hydrolase	AF-Q8R821-F1-model_v4	Putative pyrophosphatase PpaX 	0.266	213	155	1	213	1	212	2.269E-18	660
>LOKIASV2_18930 DNA damage response modulator PprM	LOKIASV2_1893_ESMFold_DNA_damage_response_modulator_PprM	AF-O30875-F1-model_v4	Major cold shock protein 	0.544	68	30	1	68	1	66	0.00000001046	368
>LOKIASV2_18940 TatD family hydrolase	LOKIASV2_1894_ESMFold_TatD_family_hydrolase	AF-Q58977-F1-model_v4	Uncharacterized metal-dependent hydrolase MJ1582 	0.246	285	185	16	300	1	246	2.493E-16	592
>LOKIASV2_18950 amidohydrolase	LOKIASV2_1895_ESMFold_amidohydrolase	3ooq-assembly1.cif.gz_A	CRYSTAL STRUCTURE OF amidohydrolase from Thermotoga maritima MSB8 	0.448	418	210	6	423	3	383	6.656E-51	1808
>LOKIASV2_18960 metallophosphoesterase family protein	LOKIASV2_1896_ESMFold_metallophosphoesterase_family_protein	AF-Q58322-F1-model_v4	Uncharacterized protein MJ0912 	0.271	237	165	3	230	5	241	5.04E-19	552
>LOKIASV2_18970 hypothetical protein	LOKIASV2_1897_ESMFold_hypothetical_protein	AF-Q58598-F1-model_v4	Uncharacterized protein MJ1198 	0.27	546	387	36	566	210	755	9.563E-47	1552
>LOKIASV2_18980 hypothetical protein	LOKIASV2_1898_ESMFold_hypothetical_protein	AF-A5IRC5-F1-model_v4	Na(+)/H(+) antiporter subunit F1 	0.106	94	80	28	121	2	92	0.3196	66
>LOKIASV2_18990 hypothetical protein	LOKIASV2_1899_ESMFold_hypothetical_protein	AF-Q1LU86-F1-model_v4	Protein FAM92A 	0.188	217	171	1	217	5	216	0.0000000199	403
>LOKIASV2_19000 hypothetical protein	LOKIASV2_1900_ESMFold_hypothetical_protein	AF-Q6TGV7-F1-model_v4	Costars family protein ABRACL 	0.236	76	49	7	71	6	81	0.04325	100
>LOKIASV2_19010 hypothetical protein	LOKIASV2_1901_ESMFold_hypothetical_protein	3pe9-assembly3.cif.gz_C	Structures of Clostridium thermocellum CbhA fibronectin(III)-like modules 	0.268	90	65	161	250	1	90	0.0000001222	286
>LOKIASV2_19020 hypothetical protein	LOKIASV2_1902_ESMFold_hypothetical_protein	AF-Q08002-F1-model_v4	Neutral metalloprotease ShpI 	0.187	313	246	63	375	84	386	6.554E-15	475
>LOKIASV2_19030 hypothetical protein	LOKIASV2_1903_ESMFold_hypothetical_protein	AF-G4T4R7-F1-model_v4	Bifunctional alpha-galactosidase/sucrose kinase AgaSK 	0.291	215	139	13	209	720	934	7.79E-15	494
>LOKIASV2_19040 beta-phosphoglucomutase family hydrolase	LOKIASV2_1904_AF2_beta-phosphoglucomutase_family_hydrolase	AF-P9WN15-F1-model_v4	Uncharacterized glycosyl hydrolase Rv2006 	0.298	1309	736	3	1052	18	1326	2.508E-92	3660
>LOKIASV2_19050 hypothetical protein	LOKIASV2_1905_ESMFold_hypothetical_protein	8fed-assembly1.cif.gz_K	Structure of Mce1-LucB complex from Mycobacterium smegmatis (Map1) 	0.13	138	101	14	130	1	138	1.425	56
>LOKIASV2_19060 sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC	LOKIASV2_1906_ESMFold_sn-glycerol-3-phosphate_ABC_transporter_ATP-binding_protein_UgpC	AF-D4GP38-F1-model_v4	Xylose/arabinose import ATP-binding protein XacJ 	0.435	374	206	1	366	1	374	6.207E-51	1908
>LOKIASV2_19070 hypothetical protein	LOKIASV2_1907_ESMFold_hypothetical_protein	AF-P55452-F1-model_v4	Probable ABC transporter permease protein y4fN 	0.169	668	455	28	695	8	555	4.2E-15	709
>LOKIASV2_19080 N-A	LOKIASV2_1908_ESMFold_N-A	AF-Q9RUE8-F1-model_v4	Probable ABC transporter-binding protein DR_1438 	0.244	415	299	57	471	14	410	2.137E-28	995
>LOKIASV2_19090 hypothetical protein	LOKIASV2_1909_ESMFold_hypothetical_protein	4zbz-assembly1.cif.gz_A	Family 4 uracil-DNA glycosylase from Sulfolobus tokodaii (free form, X-ray wavelength=1.5418) 	0.155	228	154	10	237	5	187	0.00009818	132
>LOKIASV2_19100 hypothetical protein	LOKIASV2_1910_ESMFold_hypothetical_protein	AF-P70742-F1-model_v4	Protein DsrD 	0.186	59	46	125	183	6	63	0.00729	149
>LOKIASV2_19110 hypothetical protein	LOKIASV2_1911_ESMFold_hypothetical_protein	AF-Q8VY57-F1-model_v4	ADP-ribosylation factor-like protein 8a 	0.237	161	115	23	174	19	179	6.893E-15	449
>LOKIASV2_19120 hypothetical protein	LOKIASV2_1912_ESMFold_hypothetical_protein	AF-A1AWQ3-F1-model_v4	Holo-[acyl-carrier-protein] synthase 	0.19	82	58	1	73	10	91	0.2685	33
>LOKIASV2_19130 hypothetical protein	LOKIASV2_1913_ESMFold_hypothetical_protein	AF-Q5ZKX1-F1-model_v4	Charged multivesicular body protein 1b 	0.109	258	159	2	259	8	187	2.128	24
>LOKIASV2_19140 hypothetical protein	LOKIASV2_1914_ESMFold_hypothetical_protein	AF-O28724-F1-model_v4	Uncharacterized protein AF_1548 	0.136	115	88	22	124	2	116	0.000002786	197
>LOKIASV2_19150 elongation factor EF-2	LOKIASV2_1915_ESMFold_elongation_factor_EF-2	AF-A1RVX2-F1-model_v4	Elongation factor 2 	0.383	757	448	1	757	1	727	4.984E-86	3170
>LOKIASV2_19160 hypothetical protein	LOKIASV2_1916_ESMFold_hypothetical_protein	7wiw-assembly1.cif.gz_B	Cryo-EM structure of Mycobacterium tuberculosis irtAB complexed with ATP in an occluded conformation 	0.099	283	214	26	264	20	302	1.171	37
>LOKIASV2_19170 hypothetical protein	LOKIASV2_1917_ESMFold_hypothetical_protein	AF-Q5HHQ6-F1-model_v4	Putative acetyltransferase SACOL0827 	0.218	131	99	138	264	30	160	0.0000001594	260
>LOKIASV2_19180 hypothetical protein	LOKIASV2_1918_ESMFold_hypothetical_protein	AF-O34993-F1-model_v4	Putative acetyltransferase YvoF 	0.194	165	127	95	253	3	167	0.0000001195	246
>LOKIASV2_19190 hypothetical protein	LOKIASV2_1919_ESMFold_hypothetical_protein	3po3-assembly1.cif.gz_S	Arrested RNA Polymerase II reactivation intermediate 	0.153	75	57	315	389	94	161	0.2142	49
>LOKIASV2_19200 hypothetical protein	LOKIASV2_1920_ESMFold_hypothetical_protein	3u8v-assembly1.cif.gz_A	Three dimensional structure of the Small Metal Binding Protein, SMBP 	0.074	67	58	1	67	1	64	0.7379	80
>LOKIASV2_19210 long-chain fatty acid--CoA ligase	LOKIASV2_1921_ESMFold_long-chain_fatty_acid--CoA_ligase	AF-P94547-F1-model_v4	Long-chain-fatty-acid--CoA ligase 	0.347	562	362	5	566	4	559	2.282E-63	2200
>LOKIASV2_19220 GrpB family protein	LOKIASV2_1922_ESMFold_GrpB_family_protein	AF-P54564-F1-model_v4	UPF0157 protein YqkA 	0.321	170	112	3	172	151	316	4.144E-16	539
>LOKIASV2_19230 methionine adenosyltransferase	LOKIASV2_1923_ESMFold_methionine_adenosyltransferase	AF-Q0T0V0-F1-model_v4	S-adenosylmethionine synthase 	0.625	384	143	9	392	2	384	9.648E-65	2460
>LOKIASV2_19240 hypothetical protein	LOKIASV2_1924_ESMFold_hypothetical_protein	AF-A0LMH0-F1-model_v4	UPF0210 protein Sfum_2948 	0.231	423	316	2	413	20	442	1.478E-31	1082
>LOKIASV2_19250 alpha-amylase family glycosyl hydrolase	LOKIASV2_1925_ESMFold_alpha-amylase_family_glycosyl_hydrolase	4gkl-assembly2.cif.gz_B	Crystal structure of a noncanonic maltogenic alpha-amylase AmyB from Thermotoga neapolitana 	0.186	490	338	8	497	4	419	5.653E-24	714
>LOKIASV2_19260 hypothetical protein	LOKIASV2_1926_ESMFold_hypothetical_protein	AF-P65024-F1-model_v4	Uncharacterized protein Mb2609c 	0.268	298	210	2	299	40	327	3.877E-21	761
>LOKIASV2_19270 DUF86 domain-containing protein	LOKIASV2_1927_ESMFold_DUF86_domain-containing_protein	AF-Q8TR85-F1-model_v4	Putative RNase MA_1296 	0.415	113	66	1	113	1	113	0.000000004869	452
>LOKIASV2_19280 nucleotidyltransferase	LOKIASV2_1928_ESMFold_nucleotidyltransferase	AF-Q57877-F1-model_v4	Putative protein adenylyltransferase MJ0435 	0.25	96	66	10	105	4	92	0.00000007082	257
>LOKIASV2_19290 RNA-guided endonuclease TnpB family protein	LOKIASV2_1929_ESMFold_RNA-guided_endonuclease_TnpB_family_protein	AF-P54992-F1-model_v4	Putative transposase in snaA-snaB intergenic region 	0.203	396	310	1	396	3	392	1.315E-20	566
>LOKIASV2_19300 IS200-IS605 family transposase	LOKIASV2_1930_ESMFold_IS200-IS605_family_transposase	2xma-assembly1.cif.gz_B	DEINOCOCCUS RADIODURANS ISDRA2 TRANSPOSASE RIGHT END DNA COMPLEX 	0.333	126	83	17	142	10	134	2.018E-13	460
>LOKIASV2_19310 amidophosphoribosyltransferase	LOKIASV2_1931_ESMFold_amidophosphoribosyltransferase	AF-P65830-F1-model_v4	Amidophosphoribosyltransferase 	0.263	480	332	2	481	35	486	1.684E-41	1314
>LOKIASV2_19320 hypothetical protein	LOKIASV2_1932_ESMFold_hypothetical_protein	AF-Q59036-F1-model_v4	Uncharacterized protein MJ1642 	0.325	43	28	281	323	93	135	0.1893	100
>LOKIASV2_19330 hypothetical protein	LOKIASV2_ORF_1933 not PDB100 or Swiss-Prot hit											
>LOKIASV2_19340 GTP-binding protein	LOKIASV2_1934_ESMFold_GTP-binding_protein	AF-Q58722-F1-model_v4	Uncharacterized GTP-binding protein MJ1326 	0.425	412	224	9	420	1	391	1.254E-42	1393
>LOKIASV2_19350 hypothetical protein	LOKIASV2_1935_ESMFold_hypothetical_protein	AF-Q8BG19-F1-model_v4	Protein O-mannosyl-transferase TMTC4 	0.239	234	177	8	241	482	715	2.73E-12	644
>LOKIASV2_19360 glycoside hydrolase family 3 N-terminal domain-containing protein	LOKIASV2_1936_ESMFold_glycoside_hydrolase_family_3_N-terminal_domain-containing_protein	7zb3-assembly1.cif.gz_A	Crystal structure of beta-xylosidase from Thermotoga maritima in complex with xylohexaose hydrolysed to xylobiose 	0.438	780	424	2	781	8	763	1.158E-83	3505
>LOKIASV2_19370 hypothetical protein	LOKIASV2_1937_ESMFold_hypothetical_protein	3qef-assembly1.cif.gz_A	The structure and function of an arabinan-specific alpha-1,2-arabinofuranosidase identified from screening the activities of bacterial GH43 glycoside hydrolases 	0.124	334	237	27	360	2	273	2.907E-10	303
>LOKIASV2_19380 MFS transporter	LOKIASV2_1938_ESMFold_MFS_transporter	AF-O34961-F1-model_v4	Uncharacterized symporter YjmB 	0.255	483	340	1	483	1	457	4.131E-21	1103
>LOKIASV2_19390 hypothetical protein	LOKIASV2_1939_ESMFold_hypothetical_protein	AF-O29067-F1-model_v4	Uncharacterized protein AF_1201 	0.159	210	154	2	211	45	228	0.00009868	113
>LOKIASV2_19400 hypothetical protein	LOKIASV2_1940_ESMFold_hypothetical_protein	AF-P94372-F1-model_v4	Negative regulatory protein YxlD 	0.22	50	38	14	63	5	54	0.36	93
>LOKIASV2_19410 hypothetical protein	LOKIASV2_1941_ESMFold_hypothetical_protein	AF-O05525-F1-model_v4	Putative membrane peptidase YdiL 	0.216	215	164	22	231	4	218	0.0001374	214
>LOKIASV2_19420 hypothetical protein	LOKIASV2_1942_ESMFold_hypothetical_protein	AF-Q55874-F1-model_v4	Uncharacterized protein sll0103 	0.18	372	296	4	375	1	362	4.309E-27	847
>LOKIASV2_19430 hypothetical protein	LOKIASV2_1943_AF2_hypothetical_protein	AF-Q8G838-F1-model_v4	Putative ABC transporter ATP-binding protein BL0043 	0.202	861	620	32	892	2	779	4.262E-43	1576
>LOKIASV2_19440 hypothetical protein	LOKIASV2_1944_ESMFold_hypothetical_protein	AF-P0A4U2-F1-model_v4	Cadmium resistance transcriptional regulatory protein CadC 	0.154	97	77	7	103	26	117	0.001239	151
>LOKIASV2_19450 hypothetical protein	LOKIASV2_1945_ESMFold_hypothetical_protein	4ozy-assembly1.cif.gz_A	Crystal Structure of the periplasmic alginate epimerase AlgG T265N mutant 	0.112	382	331	47	420	42	423	0.0004168	140
>LOKIASV2_19460 hypothetical protein	LOKIASV2_1946_ESMFold_hypothetical_protein	1ub9-assembly1.cif.gz_A-2	Structure of the transcriptional regulator homologue protein from Pyrococcus horikoshii OT3 	0.277	90	64	19	108	10	99	0.0000005464	281
>LOKIASV2_19470 hypothetical protein	LOKIASV2_1947_ESMFold_hypothetical_protein	AF-O34738-F1-model_v4	Putative HMP/thiamine permease protein YkoE 	0.178	177	142	38	214	3	176	0.00001007	309
>LOKIASV2_19480 hypothetical protein	LOKIASV2_1948_ESMFold_hypothetical_protein	AF-Q881J7-F1-model_v4	Blue-light-activated protein 	0.243	536	382	248	783	21	525	3.232E-37	969
>LOKIASV2_19490 hypothetical protein	LOKIASV2_1949_ESMFold_hypothetical_protein	AF-O32103-F1-model_v4	Uncharacterized oxidoreductase YuiH 	0.188	158	103	45	202	43	170	0.0000002611	238
>LOKIASV2_19500 hypothetical protein	LOKIASV2_1950_ESMFold_hypothetical_protein	2bii-assembly1.cif.gz_A	crystal structure of nitrate-reducing fragment of assimilatory nitrate reductase from Pichia angusta 	0.169	176	139	32	207	32	199	0.00001861	141
>LOKIASV2_19510 hypothetical protein	LOKIASV2_1951_ESMFold_hypothetical_protein	AF-Q8GPG1-F1-model_v4	Dimethylsulfide dehydrogenase subunit gamma 	0.16	241	197	40	280	26	261	3.105E-11	317
>LOKIASV2_19520 hypothetical protein	LOKIASV2_1952_ESMFold_hypothetical_protein	7kom-assembly1.cif.gz_A	High Resolution Crystal Structure of Putative Pterin Binding Protein PruR (VV2_1280) from Vibrio vulnificus CMCP6 	0.149	155	112	518	672	1	133	0.000004558	214
>LOKIASV2_19530 hypothetical protein	LOKIASV2_1953_ESMFold_hypothetical_protein	AF-Q9TX43-F1-model_v4	Cyclic AMP receptor 4 	0.141	252	205	9	248	4	255	0.00153	144
>LOKIASV2_19540 hypothetical protein	LOKIASV2_1954_ESMFold_hypothetical_protein	AF-Q00718-F1-model_v4	Acyltransferase MdmB 	0.13	425	327	1	425	4	380	0.0001022	177
>LOKIASV2_19550 hypothetical protein	LOKIASV2_1955_ESMFold_hypothetical_protein	6x8n-assembly2.cif.gz_B	Crystal Structure of H49A ABLE mutant 	0.145	120	99	28	144	2	121	2.259	46
>LOKIASV2_19560 hypothetical protein	LOKIASV2_1956_ESMFold_hypothetical_protein	AF-P15718-F1-model_v4	Putative Pol polyprotein from transposon element Bs1 	0.145	101	83	54	154	313	410	0.00003947	141
>LOKIASV2_19570 hypothetical protein	LOKIASV2_1957_ESMFold_hypothetical_protein	AF-P32710-F1-model_v4	Probable cytochrome c-type biogenesis protein NrfE 	0.171	434	322	31	464	3	391	4.396E-10	356
>LOKIASV2_19580 hypothetical protein	LOKIASV2_1958_ESMFold_hypothetical_protein	2qki-assembly2.cif.gz_E	Human C3c in complex with the inhibitor compstatin 	0.151	110	89	38	147	77	182	0.000178	112
>LOKIASV2_19590 hypothetical protein	LOKIASV2_1959_ESMFold_hypothetical_protein	AF-P94535-F1-model_v4	Glycolate oxidase subunit GlcD 	0.197	462	356	6	449	1	462	8.089E-31	944
>LOKIASV2_19600 -Fe-S--binding protein	LOKIASV2_1960_ESMFold_-Fe-S--binding_protein	AF-A0A0E3NEE1-F1-model_v4	Dihydromethanophenazine:CoB--CoM heterodisulfide reductase subunit D 	0.338	402	263	6	407	9	407	4.757E-33	1342
>LOKIASV2_19610 indolepyruvate oxidoreductase subunit beta	LOKIASV2_1961_ESMFold_indolepyruvate_oxidoreductase_subunit_beta	AF-O28249-F1-model_v4	Indolepyruvate oxidoreductase subunit IorB 	0.407	201	116	5	205	2	197	9.155E-23	906
>LOKIASV2_19620 indolepyruvate ferredoxin oxidoreductase subunit alpha	LOKIASV2_1962_ESMFold_indolepyruvate_ferredoxin_oxidoreductase_subunit_alpha	AF-O58495-F1-model_v4	Indolepyruvate oxidoreductase subunit IorA 	0.413	638	369	9	638	8	645	8.287E-78	2883
>LOKIASV2_19630 hypothetical protein	LOKIASV2_1963_ESMFold_hypothetical_protein	4uzr-assembly1.cif.gz_B	Crystal Structure of Pyrococcus horikoshii Ph1500 	0.153	26	20	23	48	117	141	1.332	50
>LOKIASV2_19640 hypothetical protein	LOKIASV2_1964_ESMFold_hypothetical_protein	AF-Q60320-F1-model_v4	Uncharacterized protein MJ0009 	0.239	270	202	6	272	7	276	2.01E-16	516
>LOKIASV2_19650 archaetidylinositol phosphate synthase	LOKIASV2_1965_ESMFold_archaetidylinositol_phosphate_synthase	AF-O27726-F1-model_v4	Archaetidylinositol phosphate synthase 	0.372	178	111	7	184	18	194	0.000000004958	478
>LOKIASV2_19660 acetate--CoA ligase I subunit alpha	LOKIASV2_1966_ESMFold_acetate--CoA_ligase_I_subunit_alpha	AF-Q8U3D6-F1-model_v4	Acetate--CoA ligase [ADP-forming] II subunit alpha 	0.383	451	276	18	468	5	452	1.408E-47	1907
>LOKIASV2_19670 hypothetical protein	LOKIASV2_1967_ESMFold_hypothetical_protein	AF-Q6HL42-F1-model_v4	Demethylmenaquinone methyltransferase 	0.185	236	162	1	200	2	237	2.864E-12	382
>LOKIASV2_19680 4Fe-4S binding protein	LOKIASV2_1968_ESMFold_4Fe-4S_binding_protein	AF-A9N024-F1-model_v4	Ion-translocating oxidoreductase complex subunit B 	0.296	64	44	286	348	106	169	0.004347	164
>LOKIASV2_19690 hypothetical protein	LOKIASV2_ORF_1969 not PDB100 or Swiss-Prot hit											
>LOKIASV2_19700 acetate--CoA ligase I subunit alpha	LOKIASV2_1970_ESMFold_acetate--CoA_ligase_I_subunit_alpha	AF-Q8U3D6-F1-model_v4	Acetate--CoA ligase [ADP-forming] II subunit alpha 	0.383	455	278	1	455	1	452	1.28E-48	1891
>LOKIASV2_19710 ATP-dependent DNA helicase	LOKIASV2_1971_ESMFold_ATP-dependent_DNA_helicase	AF-Q9HM14-F1-model_v4	ATP-dependent DNA helicase Ta0057 	0.208	587	458	223	801	7	593	9.143E-33	1130
>LOKIASV2_19720 dihydrofolate reductase	LOKIASV2_1972_ESMFold_dihydrofolate_reductase	8e4f-assembly1.cif.gz_A	Crystal structure of dihydrofolate reductase (DHFR) from the filarial nematode W. bancrofti in complex with NADPH and folate 	0.34	173	114	2	174	5	177	4.031E-21	740
>LOKIASV2_19730 YiiX-YebB-like N1pC-P60 family cysteine hydrolase	LOKIASV2_1973_ESMFold_YiiX-YebB-like_N1pC-P6_ESMFold_family_cysteine_hydrolase	AF-Q45607-F1-model_v4	Uncharacterized protein YycO 	0.191	199	113	43	241	105	245	0.00004102	135
>LOKIASV2_19740 hypothetical protein	LOKIASV2_1974_ESMFold_hypothetical_protein	7c2f-assembly2.cif.gz_D	Crystal Structure of the Thorarchaeota ProGel/rabbit actin complex 	0.189	95	71	13	107	1	88	0.0000178	220
>LOKIASV2_19750 hypothetical protein	LOKIASV2_ORF_1975 not PDB100 or Swiss-Prot hit											
>LOKIASV2_19760 hypothetical protein	LOKIASV2_1976_AF3_titin-like-manual_merge_A	AF-Q684R7-F1-model_v4	FRAS1-related extracellular matrix protein 1 	0.103	1815	1256	3229	4629	53	1867	1.021E-34	466
>LOKIASV2_19770 hypothetical protein	LOKIASV2_1977_ESMFold_hypothetical_protein	3k2y-assembly1.cif.gz_A	Crystal structure of protein lp_0118 from Lactobacillus plantarum,northeast structural genomics consortium target LpR91B 	0.155	123	83	84	206	2	100	0.00007401	179
>LOKIASV2_19780 hypothetical protein	LOKIASV2_1978_ESMFold_hypothetical_protein	AF-P33449-F1-model_v4	Multidrug resistance protein 1 	0.202	399	295	14	412	8	378	3.527E-13	656
>LOKIASV2_19790 bifunctional fructose-bisphosphatase-inositol-phosphate phosphatase	LOKIASV2_1979_ESMFold_bifunctional_fructose-bisphosphatase-inositol-phosphate_phosphatase	AF-O26957-F1-model_v4	Fructose-1,6-bisphosphatase/inositol-1-monophosphatase 	0.326	286	183	8	293	7	278	4.852E-31	1012
>LOKIASV2_19800 CDC48 family AAA ATPase	LOKIASV2_1980_ESMFold_CDC48_family_AAA_ATPase	AF-O28972-F1-model_v4	Cell division cycle protein 48 homolog AF_1297 	0.518	748	352	4	751	2	732	1.353E-96	3342
>LOKIASV2_19810 L-seryl-tRNA-Sec- kinase	LOKIASV2_1981_ESMFold_L-seryl-tRNA-Sec-_kinase	AF-Q58933-F1-model_v4	L-seryl-tRNA(Sec) kinase 	0.252	283	183	4	286	1	246	1.825E-13	411
>LOKIASV2_19820 GIY-YIG nuclease family protein	LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	AF-Q5HII9-F1-model_v4	UPF0213 protein SACOL0530 	0.43	85	46	1	85	1	81	0.00000008	318
>LOKIASV2_19830 hypothetical protein	LOKIASV2_1983_ESMFold_hypothetical_protein	AF-P37545-F1-model_v4	Uncharacterized metal-dependent hydrolase YabD 	0.315	258	173	5	262	2	255	4.103E-21	767
>LOKIASV2_19840 hypothetical protein	LOKIASV2_1984_ESMFold_hypothetical_protein	AF-O42907-F1-model_v4	Uncharacterized protein C119.16c 	0.142	126	91	1	107	1	126	0.0002573	131
>LOKIASV2_19850 hypothetical protein	LOKIASV2_1985_ESMFold_hypothetical_protein	AF-P73888-F1-model_v4	Uncharacterized protein slr0269 	0.119	141	108	11	151	19	142	0.001138	121
>LOKIASV2_19860 hypothetical protein	LOKIASV2_1986_ESMFold_hypothetical_protein	AF-Q9D1D6-F1-model_v4	Collagen triple helix repeat-containing protein 1 	0.124	163	131	36	198	96	245	0.0000007356	187
>LOKIASV2_19870 Lrp-AsnC ligand binding domain-containing protein	LOKIASV2_1987_ESMFold_Lrp-AsnC_ligand_binding_domain-containing_protein	2cvi-assembly1.cif.gz_B	Crystal structure of hypothetical protein PHS023 from Pyrococcus horikoshii 	0.394	76	45	7	81	2	77	0.00000003172	286
>LOKIASV2_19880 hypothetical protein	LOKIASV2_1988_ESMFold_hypothetical_protein	AF-Q57614-F1-model_v4	Uncharacterized protein MJ0150 	0.241	165	118	1	156	6	170	9.497E-10	306
>LOKIASV2_19890 hypothetical protein	LOKIASV2_1989_ESMFold_hypothetical_protein	6gnd-assembly1.cif.gz_B	Crystal structure of the complex of a Ferredoxin-Flavin Thioredoxin Reductase and a Thioredoxin from Clostridium acetobutylicum at 2.9 A resolution 	0.285	84	59	1	84	10	92	0.000003159	206
>LOKIASV2_19900 Rab family GTPase	LOKIASV2_1990_ESMFold_Rab_family_GTPase	AF-Q63481-F1-model_v4	Ras-related protein Rab-7L1 	0.324	177	118	8	183	4	180	8.665E-19	629
>LOKIASV2_19910 Rab family GTPase	LOKIASV2_1991_ESMFold_Rab_family_GTPase	AF-Q39222-F1-model_v4	Ras-related protein RABA1b 	0.396	174	102	1	174	9	178	7.873E-22	790
>LOKIASV2_19920 hypothetical protein	LOKIASV2_1992_ESMFold_hypothetical_protein	AF-P0ACS1-F1-model_v4	Transcriptional repressor MprA 	0.178	82	66	13	94	55	135	0.002764	130
>LOKIASV2_19930 hypothetical protein	LOKIASV2_1993_ESMFold_hypothetical_protein	AF-Q796Q1-F1-model_v4	Uncharacterized MFS-type transporter YitG 	0.167	391	318	6	396	11	393	5.949E-13	570
>LOKIASV2_19940 hypothetical protein	LOKIASV2_1994_ESMFold_hypothetical_protein	AF-Q797E6-F1-model_v4	Intracellular iron chaperone frataxin 	0.124	121	94	15	135	6	113	0.0233	84
>LOKIASV2_19950 hypothetical protein	LOKIASV2_1995_ESMFold_hypothetical_protein	7wff-assembly1.cif.gz_E	Subcomplexes B,M and L in the Cylic electron transfer supercomplex NDH-PSI from Arabidopsis 	0.116	85	73	77	160	3	87	2.69	56
>LOKIASV2_19960 hypothetical protein	LOKIASV2_1996_ESMFold_hypothetical_protein	6iej-assembly2.cif.gz_C-2	The C2 domain of cytosolic phospholipase A2 alpha bound to phosphatidylcholine 	0.141	132	106	30	161	3	126	0.000005924	181
>LOKIASV2_19970 hypothetical protein	LOKIASV2_1997_ESMFold_hypothetical_protein	AF-O29484-F1-model_v4	Uncharacterized protein AF_0774 	0.084	95	79	3	97	14	100	0.00001957	172
>LOKIASV2_19980 cob-I-yrinic acid a,c-diamide adenosyltransferase	LOKIASV2_1998_ESMFold_cob-I-yrinic_acid_a-c-diamide_adenosyltransferase	AF-P31570-F1-model_v4	Corrinoid adenosyltransferase 	0.266	183	126	4	186	24	196	8.628E-14	446
>LOKIASV2_19990 methylmalonyl-CoA mutase family protein	LOKIASV2_1999_ESMFold_methylmalonyl-CoA_mutase_family_protein	4r3u-assembly1.cif.gz_A	Crystal structure of 2-Hydroxyisobutyryl-CoA Mutase 	0.491	560	281	8	567	5	557	1.872E-52	2404
>LOKIASV2_20000 cobalamin B12-binding domain-containing protein	LOKIASV2_2000_ESMFold_cobalamin_B12-binding_domain-containing_protein	4r3u-assembly1.cif.gz_C	Crystal structure of 2-Hydroxyisobutyryl-CoA Mutase 	0.5	126	63	2	127	1	126	1.083E-16	600
>LOKIASV2_20010 methylmalonyl Co-A mutase-associated GTPase MeaB	LOKIASV2_2001_ESMFold_methylmalonyl_Co-A_mutase-associated_GTPase_MeaB	AF-O58012-F1-model_v4	Putative GTPase PH0274 	0.458	329	169	5	333	4	315	1.334E-32	1236
>LOKIASV2_20020 hypothetical protein	LOKIASV2_2002_ESMFold_hypothetical_protein	AF-O28955-F1-model_v4	Uncharacterized protein AF_1314 	0.244	243	159	9	251	3	213	4.846E-16	424
>LOKIASV2_20030 hypothetical protein	LOKIASV2_2003_ESMFold_hypothetical_protein	8h0p-assembly1.cif.gz_A	Structure of the NMB30-NMBR and Gq complex 	0.124	235	183	229	463	4	213	0.00002651	137
